geo_id,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_diff_state,pct_foreign_born,unemploy_rate,pct_below_poverty,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US53063010506,14.2,31.2,6.1,26.5,20.3,4.3,7.2,1.9,8.7,3.464,10.52,48.9,56.6,15.4,0.0,46.6,50.9,7.3,7.4,11.1,9.9,7.3,9.1,20.8,25.0
1400000US53063010507,19.7,23.8,14.5,21.3,17.0,4.5,3.3,2.4,3.1,3.515,15.69,40.4,51.3,11.2,2.8,41.1,49.6,4.6,11.1,9.5,16.5,7.6,5.3,25.4,18.0
1400000US53063010508,10.6,23.4,16.6,30.8,15.0,6.4,1.4,2.0,4.2,5.2,11.64,19.6,37.1,48.3,4.4,40.7,51.8,4.9,4.0,18.3,9.2,6.3,9.7,30.4,13.1
1400000US53063010601,23.9,23.3,14.0,22.0,15.2,1.2,3.1,1.9,2.6,2.947,12.54,16.2,37.4,10.6,0.0,41.7,50.4,1.5,8.7,12.6,13.5,5.9,5.2,28.8,21.2
1400000US53063010603,20.7,28.1,16.5,20.8,10.5,3.2,3.3,1.4,4.7,3.416,9.6,25.1,48.8,16.2,0.0,50.1,51.1,4.8,9.0,10.1,13.4,7.7,8.0,20.3,24.9
1400000US53063010604,14.3,19.2,13.0,22.6,25.5,0.0,2.5,6.1,3.5,3.313,15.95,11.6,47.4,14.5,0.0,54.2,51.7,4.0,13.4,4.8,11.1,11.5,14.4,18.6,21.1
1400000US53063010701,11.4,23.5,10.4,30.8,19.1,1.3,7.7,4.4,3.2,3.751,,6.5,48.0,24.0,1.2,37.5,49.4,1.4,8.8,17.1,15.4,6.7,3.8,34.4,10.7
1400000US53063010702,15.1,22.0,10.6,33.5,18.4,2.1,8.8,1.1,13.8,3.754,20.71,17.3,46.4,27.0,1.1,34.3,51.5,4.8,8.0,18.7,13.1,3.9,4.3,37.6,8.2
1400000US53063010800,24.3,37.4,12.0,12.8,7.8,1.5,2.8,5.9,24.5,2.497,8.61,60.5,18.8,0.5,1.3,36.8,42.7,14.5,12.3,10.5,9.7,4.3,13.2,14.6,15.7
1400000US53063010901,28.5,25.1,15.1,14.1,7.8,0.1,0.9,16.1,12.9,2.564,12.5,8.2,27.5,1.2,0.0,39.4,52.2,3.2,11.4,15.0,13.0,5.9,4.2,24.1,20.3
1400000US53063010902,20.9,25.2,10.3,27.3,14.9,7.8,9.2,12.0,19.6,3.489,16.63,20.4,46.2,20.0,0.0,20.6,47.7,15.5,5.4,7.0,10.8,2.6,3.0,15.0,9.9
1400000US53063011000,25.6,26.9,19.6,18.3,5.1,1.7,4.5,6.5,8.8,2.256,11.45,32.2,12.7,1.3,0.7,40.4,50.3,3.7,10.2,16.3,13.2,7.6,4.2,25.8,16.7
1400000US53063011102,30.6,33.8,10.2,13.2,7.6,5.4,5.5,3.2,13.2,2.467,10.01,71.0,24.5,1.2,0.0,31.5,48.6,9.3,22.0,9.9,10.0,6.6,3.6,22.9,13.0
1400000US53063011103,27.4,23.4,12.0,17.7,1.9,1.9,13.3,14.2,12.9,2.0,8.2,76.7,19.8,5.7,0.0,57.7,46.7,7.1,11.6,8.3,7.7,4.9,9.1,10.9,38.9
1400000US53063011104,36.5,28.6,9.3,12.4,4.2,2.2,1.9,18.4,34.6,1.527,10.56,73.1,0.0,0.0,0.0,28.6,36.0,13.3,21.7,9.5,4.2,5.0,6.1,18.4,17.4
1400000US53063011202,25.6,26.5,19.6,14.8,8.5,0.4,4.6,6.0,6.8,2.68,11.48,10.2,27.4,11.7,0.9,43.5,48.5,3.4,14.1,11.7,15.5,6.9,8.8,22.3,15.7
