geo_id,census_tract,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_same_house,pct_diff_house,pct_diff_house_us,pct_same_county,pct_diff_county,pct_diffCounty_sState,pct_diff_state,pct_abroad,pct_native,pct_foreign_born,unemploy_rate,pct_below_poverty,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US53063010101,Census Tract 101.01; Spokane County; Washington,25.0,25.0,16.4,16.4,11.8,89.1,10.9,10.9,8.9,2.0,1.5,0.5,0.0,97.1,2.9,2.3,3.4,402500.0,962.0,6.4,34.7,31.0,0.0,52.8,52.9,2.5,9.5,10.9,16.3,7.7,10.5,13.1,28.8
1400000US53063010102,Census Tract 101.02; Spokane County; Washington,22.5,31.5,15.0,22.3,5.3,92.1,7.9,7.9,7.6,0.3,0.1,0.2,0.0,97.4,2.6,1.0,3.0,353500.0,,5.5,33.2,24.9,4.0,46.9,52.2,0.4,17.5,10.3,8.7,13.4,12.9,19.6,17.2
1400000US53063010201,Census Tract 102.01; Spokane County; Washington,28.8,26.9,15.0,16.4,6.7,93.5,6.5,6.5,3.2,3.3,1.0,2.3,0.0,98.6,1.4,3.5,11.2,317000.0,,8.4,48.0,7.5,0.0,43.7,53.7,4.4,11.0,18.4,11.8,8.0,5.3,17.5,21.2
1400000US53063010203,Census Tract 102.03; Spokane County; Washington,16.1,27.4,16.5,20.0,15.5,93.1,6.9,6.9,4.8,2.1,0.0,2.1,0.0,93.8,6.2,4.0,5.5,368600.0,1037.0,4.4,62.5,13.9,0.0,37.2,49.5,5.8,13.8,7.2,19.2,8.4,4.5,26.4,13.0
1400000US53063010204,Census Tract 102.04; Spokane County; Washington,14.2,24.6,17.0,29.5,9.8,89.6,10.4,10.4,7.9,2.5,2.5,0.0,0.0,100.0,0.0,6.6,22.6,435000.0,,5.4,27.9,36.3,3.9,43.1,45.2,1.3,3.2,15.3,14.7,4.8,6.4,31.6,20.3
1400000US53063010301,Census Tract 103.01; Spokane County; Washington,31.3,27.4,17.4,10.4,6.2,83.3,16.7,16.5,12.8,3.7,2.7,1.0,0.1,98.3,1.7,8.7,13.7,241400.0,798.0,28.5,29.0,1.8,1.3,35.5,43.9,5.1,15.7,10.5,8.9,7.0,6.2,26.0,18.5
1400000US53063010303,Census Tract 103.03; Spokane County; Washington,30.0,28.5,14.1,19.2,6.3,95.7,4.3,4.3,3.5,0.8,0.8,0.0,0.0,95.2,4.8,1.8,7.9,361900.0,859.0,9.9,46.8,17.4,0.0,47.3,48.9,2.4,4.8,15.9,11.5,6.6,11.9,23.2,21.6
1400000US53063010304,Census Tract 103.04; Spokane County; Washington,27.3,32.5,23.0,7.2,1.2,83.4,16.6,16.6,12.3,4.3,3.6,0.7,0.0,98.5,1.5,4.4,12.0,251900.0,675.0,13.1,22.0,10.7,0.0,46.4,49.5,1.8,8.3,13.8,13.9,6.0,11.5,21.4,21.3
1400000US53063010305,Census Tract 103.05; Spokane County; Washington,19.0,33.3,14.0,16.9,14.3,94.4,5.6,5.6,4.6,1.0,0.8,0.2,0.0,98.6,1.4,3.5,7.6,356500.0,1094.0,5.8,53.0,17.5,0.0,40.1,55.1,6.9,8.9,15.3,13.8,7.9,5.1,24.9,14.7
1400000US53063010401,Census Tract 104.01; Spokane County; Washington,33.2,32.3,11.1,5.7,4.9,76.1,23.9,23.7,9.2,14.5,10.7,3.8,0.2,91.2,8.8,10.9,23.2,193000.0,1027.0,51.4,16.9,0.0,0.0,33.8,67.8,7.9,24.1,17.4,13.3,3.9,4.0,20.1,8.4
1400000US53063010403,Census Tract 104.03; Spokane County; Washington,30.4,22.4,22.2,19.2,0.3,87.0,13.0,13.0,4.6,8.4,3.9,4.5,0.0,88.6,11.4,4.9,11.6,298200.0,960.0,10.1,37.8,11.6,0.0,41.2,48.0,2.7,13.3,15.6,11.9,8.3,8.4,22.6,15.6
1400000US53063010404,Census Tract 104.04; Spokane County; Washington,21.0,35.7,19.0,16.4,5.0,95.9,4.1,4.1,3.5,0.6,0.0,0.6,0.0,98.1,1.9,3.7,7.3,312300.0,724.0,10.7,29.7,23.0,0.0,50.0,54.0,2.4,6.2,12.6,21.4,9.7,4.3,13.9,27.6
1400000US53063010504,Census Tract 105.04; Spokane County; Washington,25.3,24.2,11.5,19.2,14.2,92.3,7.7,6.6,2.7,3.9,3.7,0.2,1.1,98.8,1.2,4.0,7.5,287000.0,1211.0,6.9,31.0,12.2,3.0,45.7,50.5,2.6,3.7,14.8,12.2,7.9,9.9,26.3,20.7
1400000US53063010505,Census Tract 105.05; Spokane County; Washington,21.5,17.1,16.5,28.7,12.5,87.6,12.4,10.6,8.2,2.5,0.1,2.3,1.8,96.4,3.6,4.7,6.1,306400.0,1509.0,19.0,51.0,1.0,0.0,34.4,51.1,4.0,13.8,11.9,13.0,5.7,3.7,30.2,14.9
1400000US53063010506,Census Tract 105.06; Spokane County; Washington,14.2,31.2,6.1,26.5,20.3,81.0,19.0,19.0,13.5,5.5,1.2,4.3,0.0,92.8,7.2,1.9,8.7,346400.0,1052.0,48.9,56.6,15.4,0.0,46.6,50.9,7.3,7.4,11.1,9.9,7.3,9.1,20.8,25.0
1400000US53063010507,Census Tract 105.07; Spokane County; Washington,19.7,23.8,14.5,21.3,17.0,80.5,19.5,19.5,13.9,5.6,1.1,4.5,0.0,96.7,3.3,2.4,3.1,351500.0,1569.0,40.4,51.3,11.2,2.8,41.1,49.6,4.6,11.1,9.5,16.5,7.6,5.3,25.4,18.0
1400000US53063010508,Census Tract 105.08; Spokane County; Washington,10.6,23.4,16.6,30.8,15.0,79.1,20.9,20.9,14.0,6.9,0.5,6.4,0.0,98.6,1.4,2.0,4.2,520000.0,1164.0,19.6,37.1,48.3,4.4,40.7,51.8,4.9,4.0,18.3,9.2,6.3,9.7,30.4,13.1
1400000US53063010601,Census Tract 106.01; Spokane County; Washington,23.9,23.3,14.0,22.0,15.2,91.1,8.9,8.9,6.4,2.4,1.2,1.2,0.0,96.9,3.1,1.9,2.6,294700.0,1254.0,16.2,37.4,10.6,0.0,41.7,50.4,1.5,8.7,12.6,13.5,5.9,5.2,28.8,21.2
1400000US53063010603,Census Tract 106.03; Spokane County; Washington,20.7,28.1,16.5,20.8,10.5,89.8,10.2,9.9,6.0,4.0,0.7,3.2,0.3,96.7,3.3,1.4,4.7,341600.0,960.0,25.1,48.8,16.2,0.0,50.1,51.1,4.8,9.0,10.1,13.4,7.7,8.0,20.3,24.9
1400000US53063010604,Census Tract 106.04; Spokane County; Washington,14.3,19.2,13.0,22.6,25.5,84.8,15.2,14.5,12.7,1.8,1.8,0.0,0.7,97.5,2.5,6.1,3.5,331300.0,1595.0,11.6,47.4,14.5,0.0,54.2,51.7,4.0,13.4,4.8,11.1,11.5,14.4,18.6,21.1
1400000US53063010701,Census Tract 107.01; Spokane County; Washington,11.4,23.5,10.4,30.8,19.1,84.8,15.2,15.2,10.7,4.5,3.3,1.3,0.0,92.3,7.7,4.4,3.2,375100.0,,6.5,48.0,24.0,1.2,37.5,49.4,1.4,8.8,17.1,15.4,6.7,3.8,34.4,10.7
1400000US53063010702,Census Tract 107.02; Spokane County; Washington,15.1,22.0,10.6,33.5,18.4,91.6,8.4,7.0,0.8,6.3,4.1,2.1,1.3,91.2,8.8,1.1,13.8,375400.0,2071.0,17.3,46.4,27.0,1.1,34.3,51.5,4.8,8.0,18.7,13.1,3.9,4.3,37.6,8.2
1400000US53063010800,Census Tract 108; Spokane County; Washington,24.3,37.4,12.0,12.8,7.8,76.0,24.0,23.2,17.3,5.9,4.4,1.5,0.8,97.2,2.8,5.9,24.5,249700.0,861.0,60.5,18.8,0.5,1.3,36.8,42.7,14.5,12.3,10.5,9.7,4.3,13.2,14.6,15.7
1400000US53063010901,Census Tract 109.01; Spokane County; Washington,28.5,25.1,15.1,14.1,7.8,93.3,6.7,6.7,6.1,0.7,0.5,0.1,0.0,99.1,0.9,16.1,12.9,256400.0,1250.0,8.2,27.5,1.2,0.0,39.4,52.2,3.2,11.4,15.0,13.0,5.9,4.2,24.1,20.3
1400000US53063010902,Census Tract 109.02; Spokane County; Washington,20.9,25.2,10.3,27.3,14.9,60.1,39.9,38.7,12.7,26.0,18.2,7.8,1.2,90.8,9.2,12.0,19.6,348900.0,1663.0,20.4,46.2,20.0,0.0,20.6,47.7,15.5,5.4,7.0,10.8,2.6,3.0,15.0,9.9
1400000US53063011000,Census Tract 110; Spokane County; Washington,25.6,26.9,19.6,18.3,5.1,80.2,19.8,19.8,14.0,5.8,4.1,1.7,0.0,95.5,4.5,6.5,8.8,225600.0,1145.0,32.2,12.7,1.3,0.7,40.4,50.3,3.7,10.2,16.3,13.2,7.6,4.2,25.8,16.7
1400000US53063011102,Census Tract 111.02; Spokane County; Washington,30.6,33.8,10.2,13.2,7.6,72.5,27.5,27.5,15.7,11.8,6.4,5.4,0.0,94.5,5.5,3.2,13.2,246700.0,1001.0,71.0,24.5,1.2,0.0,31.5,48.6,9.3,22.0,9.9,10.0,6.6,3.6,22.9,13.0
1400000US53063011103,Census Tract 111.03; Spokane County; Washington,27.4,23.4,12.0,17.7,1.9,71.3,28.7,28.7,26.4,2.3,0.4,1.9,0.0,86.7,13.3,14.2,12.9,200000.0,820.0,76.7,19.8,5.7,0.0,57.7,46.7,7.1,11.6,8.3,7.7,4.9,9.1,10.9,38.9
